order_id,order_name,created_at,created_at_melbourne,created_date_melbourne,processed_at,processed_at_melbourne,source_name,attribution_handle,app_id,app_name,financial_status,fulfillment_status,cancelled_at,cancel_reason,test,edited,fully_paid,payment_gateway_names,presentment_currency,shipping_country_code,line_item_count,current_total_amount,total_refunded_amount,found_in_ga4_purchase_events,found_in_ga4_purchase_items,classification
6607870165131,STE138319,2026-07-01T07:18:51Z,2026-07-01T17:18:51+10:00,2026-07-01,2026-07-01T07:18:51Z,2026-07-01T17:18:51+10:00,4200331,refundid,gid://shopify/App/4200331,Refundid: Returns Portal,PAID,FULFILLED,,,False,False,True,manual,AUD,AU,1,169.0,0.0,False,False,absent_from_ga4
6607934488715,STE138320,2026-07-01T08:16:41Z,2026-07-01T18:16:41+10:00,2026-07-01,2026-07-01T08:16:38Z,2026-07-01T18:16:38+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,243.1,0.0,True,True,complete_ga4_purchase
6608000254091,STE138321,2026-07-01T09:52:52Z,2026-07-01T19:52:52+10:00,2026-07-01,2026-07-01T09:52:49Z,2026-07-01T19:52:49+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,99.0,0.0,True,True,complete_ga4_purchase
6608041509003,STE138322,2026-07-01T10:45:00Z,2026-07-01T20:45:00+10:00,2026-07-01,2026-07-01T10:44:58Z,2026-07-01T20:44:58+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,paypal,AUD,AU,6,744.0,0.0,True,True,complete_ga4_purchase
6608050978955,STE138323,2026-07-01T10:57:07Z,2026-07-01T20:57:07+10:00,2026-07-01,2026-07-01T10:57:04Z,2026-07-01T20:57:04+10:00,shopify_draft_order,shopify-draft-orders,gid://shopify/App/1354745,Draft Orders,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,51.17,0.0,False,False,absent_from_ga4
6608072474763,STE138324,2026-07-01T11:21:39Z,2026-07-01T21:21:39+10:00,2026-07-01,2026-07-01T11:21:35Z,2026-07-01T21:21:35+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,162.1,0.0,True,True,complete_ga4_purchase
6608079945867,STE138325,2026-07-01T11:29:54Z,2026-07-01T21:29:54+10:00,2026-07-01,2026-07-01T11:29:53Z,2026-07-01T21:29:53+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,Airwallex Afterpay,AUD,AU,1,209.1,0.0,True,True,complete_ga4_purchase
6608091873419,STE138326,2026-07-01T11:41:44Z,2026-07-01T21:41:44+10:00,2026-07-01,2026-07-01T11:41:41Z,2026-07-01T21:41:41+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,2,348.1,0.0,True,True,complete_ga4_purchase
6608092725387,STE138327,2026-07-01T11:42:26Z,2026-07-01T21:42:26+10:00,2026-07-01,2026-07-01T11:42:22Z,2026-07-01T21:42:22+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,245.1,0.0,True,True,complete_ga4_purchase
6608093118603,STE138328,2026-07-01T11:42:55Z,2026-07-01T21:42:55+10:00,2026-07-01,2026-07-01T11:42:52Z,2026-07-01T21:42:52+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,79.0,0.0,True,True,complete_ga4_purchase
6608119922827,STE138329,2026-07-01T12:08:53Z,2026-07-01T22:08:53+10:00,2026-07-01,2026-07-01T12:08:49Z,2026-07-01T22:08:49+10:00,web,web,gid://shopify/App/580111,Online Store,PARTIALLY_REFUNDED,FULFILLED,,,False,True,True,shopify_payments,AUD,AU,2,165.05,139.15,True,True,complete_ga4_purchase
6608124510347,STE138330,2026-07-01T12:13:18Z,2026-07-01T22:13:18+10:00,2026-07-01,2026-07-01T12:13:14Z,2026-07-01T22:13:14+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,2,148.1,0.0,True,True,complete_ga4_purchase
6608148955275,STE138331,2026-07-01T12:36:48Z,2026-07-01T22:36:48+10:00,2026-07-01,2026-07-01T12:36:43Z,2026-07-01T22:36:43+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,3,267.0,0.0,True,True,complete_ga4_purchase
6608334782603,STE138332,2026-07-01T14:35:10Z,2026-07-02T00:35:10+10:00,2026-07-02,2026-07-01T14:35:09Z,2026-07-02T00:35:09+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,Airwallex Klarna,AUD,AU,1,169.0,0.0,True,True,complete_ga4_purchase
6608380166283,STE138333,2026-07-01T15:08:41Z,2026-07-02T01:08:41+10:00,2026-07-02,2026-07-01T15:08:39Z,2026-07-02T01:08:39+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,Airwallex Afterpay,AUD,AU,1,171.0,0.0,True,True,complete_ga4_purchase
6608638247051,STE138334,2026-07-01T17:55:00Z,2026-07-02T03:55:00+10:00,2026-07-02,2026-07-01T17:54:57Z,2026-07-02T03:54:57+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,189.1,0.0,True,True,complete_ga4_purchase
6608697426059,STE138335,2026-07-01T18:34:09Z,2026-07-02T04:34:09+10:00,2026-07-02,2026-07-01T18:34:06Z,2026-07-02T04:34:06+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,139.0,0.0,False,False,absent_from_ga4
6608853106827,STE138336,2026-07-01T20:24:20Z,2026-07-02T06:24:20+10:00,2026-07-02,2026-07-01T20:24:17Z,2026-07-02T06:24:17+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,169.0,0.0,True,True,complete_ga4_purchase
6608871489675,STE138337,2026-07-01T20:34:49Z,2026-07-02T06:34:49+10:00,2026-07-02,2026-07-01T20:34:43Z,2026-07-02T06:34:43+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,119.0,0.0,False,False,absent_from_ga4
6608875651211,STE138338,2026-07-01T20:38:11Z,2026-07-02T06:38:11+10:00,2026-07-02,2026-07-01T20:38:07Z,2026-07-02T06:38:07+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,2,298.0,0.0,False,False,absent_from_ga4
6608878764171,STE138339,2026-07-01T20:40:23Z,2026-07-02T06:40:23+10:00,2026-07-02,2026-07-01T20:40:18Z,2026-07-02T06:40:18+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,2,218.0,0.0,True,True,complete_ga4_purchase
6608892395659,STE138340,2026-07-01T20:50:13Z,2026-07-02T06:50:13+10:00,2026-07-02,2026-07-01T20:50:08Z,2026-07-02T06:50:08+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,2,252.1,0.0,True,True,complete_ga4_purchase
6608900685963,STE138341,2026-07-01T20:56:40Z,2026-07-02T06:56:40+10:00,2026-07-02,2026-07-01T20:56:38Z,2026-07-02T06:56:38+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,Airwallex Afterpay,AUD,AU,2,258.0,0.0,True,True,complete_ga4_purchase
6608917725323,STE138342,2026-07-01T21:08:19Z,2026-07-02T07:08:19+10:00,2026-07-02,2026-07-01T21:08:15Z,2026-07-02T07:08:15+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,2,258.0,0.0,True,True,complete_ga4_purchase
6609032446091,STE138343,2026-07-01T22:34:48Z,2026-07-02T08:34:48+10:00,2026-07-02,2026-07-01T22:34:46Z,2026-07-02T08:34:46+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,paypal,AUD,AU,1,131.0,0.0,True,True,complete_ga4_purchase
6609108500619,STE138344,2026-07-01T23:39:43Z,2026-07-02T09:39:43+10:00,2026-07-02,2026-07-01T23:39:39Z,2026-07-02T09:39:39+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,2,218.0,0.0,True,True,complete_ga4_purchase
6609113022603,STE138345,2026-07-01T23:43:40Z,2026-07-02T09:43:40+10:00,2026-07-02,2026-07-01T23:43:39Z,2026-07-02T09:43:39+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,paypal,AUD,AU,1,189.1,0.0,True,True,complete_ga4_purchase
6609166893195,STE138346,2026-07-02T00:32:53Z,2026-07-02T10:32:53+10:00,2026-07-02,2026-07-02T00:32:52Z,2026-07-02T10:32:52+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,Airwallex Afterpay,AUD,AU,1,245.1,0.0,True,True,complete_ga4_purchase
6609191829643,STE138347,2026-07-02T00:54:54Z,2026-07-02T10:54:54+10:00,2026-07-02,2026-07-02T00:54:52Z,2026-07-02T10:54:52+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,paypal,AUD,AU,1,169.0,0.0,True,True,complete_ga4_purchase
6609241112715,STE138348,2026-07-02T01:38:45Z,2026-07-02T11:38:45+10:00,2026-07-02,2026-07-02T01:38:42Z,2026-07-02T11:38:42+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,79.0,0.0,True,True,complete_ga4_purchase
6609333649547,STE138349,2026-07-02T03:05:27Z,2026-07-02T13:05:27+10:00,2026-07-02,2026-07-02T03:05:27Z,2026-07-02T13:05:27+10:00,shopify_draft_order,shopify-draft-orders,gid://shopify/App/1354745,Draft Orders,PAID,FULFILLED,,,False,False,True,,AUD,AU,1,0.0,0.0,False,False,absent_from_ga4
6609335353483,STE138350,2026-07-02T03:07:09Z,2026-07-02T13:07:09+10:00,2026-07-02,2026-07-02T03:07:09Z,2026-07-02T13:07:09+10:00,shopify_draft_order,shopify-draft-orders,gid://shopify/App/1354745,Draft Orders,PAID,FULFILLED,,,False,False,True,,AUD,AU,1,0.0,0.0,False,False,absent_from_ga4
