order_graphql_id,order_id,order_name,created_at,created_at_melbourne,created_date_melbourne,processed_at,processed_at_melbourne,processed_date_melbourne,updated_at,cancelled_at,cancel_reason,test,confirmed,closed,edited,fully_paid,source_name,registered_source_url,attribution_handle,attribution_display_name,app_id,app_name,financial_status,fulfillment_status,payment_gateway_names,currency,presentment_currency,subtotal_line_items_quantity,return_status,shipping_country_code,line_item_count,current_subtotal_shop_amount,current_subtotal_shop_currency,current_subtotal_presentment_amount,current_subtotal_presentment_currency,current_total_discounts_shop_amount,current_total_discounts_shop_currency,current_total_discounts_presentment_amount,current_total_discounts_presentment_currency,current_total_tax_shop_amount,current_total_tax_shop_currency,current_total_tax_presentment_amount,current_total_tax_presentment_currency,current_shipping_price_shop_amount,current_shipping_price_shop_currency,current_shipping_price_presentment_amount,current_shipping_price_presentment_currency,current_total_shop_amount,current_total_shop_currency,current_total_presentment_amount,current_total_presentment_currency,total_received_shop_amount,total_received_shop_currency,total_received_presentment_amount,total_received_presentment_currency,total_refunded_shop_amount,total_refunded_shop_currency,total_refunded_presentment_amount,total_refunded_presentment_currency
gid://shopify/Order/6607458533515,6607458533515,STE138311,2026-07-01T02:17:35Z,2026-07-01T12:17:35+10:00,2026-07-01,2026-07-01T02:17:30Z,2026-07-01T12:17:30+10:00,2026-07-01,2026-07-07T03:07:31Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,gift_card|shopify_payments,AUD,AUD,1,NO_RETURN,AU,1,197.1,AUD,197.1,AUD,21.9,AUD,21.9,AUD,18.83,AUD,18.83,AUD,10.0,AUD,10.0,AUD,207.1,AUD,207.1,AUD,207.1,AUD,207.1,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6607471575179,6607471575179,STE138312,2026-07-01T02:29:20Z,2026-07-01T12:29:20+10:00,2026-07-01,2026-07-01T02:29:16Z,2026-07-01T12:29:16+10:00,2026-07-01,2026-07-03T02:09:34Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,1,NO_RETURN,AU,1,69.0,AUD,69.0,AUD,0.0,AUD,0.0,AUD,7.18,AUD,7.18,AUD,10.0,AUD,10.0,AUD,79.0,AUD,79.0,AUD,79.0,AUD,79.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6607509848203,6607509848203,STE138313,2026-07-01T03:00:33Z,2026-07-01T13:00:33+10:00,2026-07-01,2026-07-01T03:00:31Z,2026-07-01T13:00:31+10:00,2026-07-01,2026-07-07T03:22:09Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,Airwallex Afterpay|gift_card,AUD,AUD,1,NO_RETURN,AU,1,259.0,AUD,259.0,AUD,0.0,AUD,0.0,AUD,23.55,AUD,23.55,AUD,0.0,AUD,0.0,AUD,259.0,AUD,259.0,AUD,259.0,AUD,259.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6607743811723,6607743811723,STE138314,2026-07-01T05:17:24Z,2026-07-01T15:17:24+10:00,2026-07-01,2026-07-01T05:17:23Z,2026-07-01T15:17:23+10:00,2026-07-01,2026-07-06T02:35:52Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,Airwallex Klarna,AUD,AUD,1,NO_RETURN,AU,1,119.0,AUD,119.0,AUD,0.0,AUD,0.0,AUD,11.73,AUD,11.73,AUD,10.0,AUD,10.0,AUD,129.0,AUD,129.0,AUD,129.0,AUD,129.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6607783166091,6607783166091,STE138315,2026-07-01T05:43:22Z,2026-07-01T15:43:22+10:00,2026-07-01,2026-07-01T05:43:21Z,2026-07-01T15:43:21+10:00,2026-07-01,2026-07-05T23:57:25Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,paypal,AUD,AUD,1,NO_RETURN,AU,1,259.0,AUD,259.0,AUD,0.0,AUD,0.0,AUD,23.55,AUD,23.55,AUD,0.0,AUD,0.0,AUD,259.0,AUD,259.0,AUD,259.0,AUD,259.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6607790899339,6607790899339,STE138316,2026-07-01T05:51:02Z,2026-07-01T15:51:02+10:00,2026-07-01,2026-07-01T05:50:59Z,2026-07-01T15:50:59+10:00,2026-07-01,2026-07-03T04:53:16Z,,,False,True,True,False,True,shopify_draft_order,,shopify-draft-orders,Draft Orders,gid://shopify/App/1354745,Draft Orders,PAID,FULFILLED,shopify_payments,AUD,AUD,2,NO_RETURN,AU,2,338.0,AUD,338.0,AUD,0.0,AUD,0.0,AUD,30.72,AUD,30.72,AUD,0.0,AUD,0.0,AUD,338.0,AUD,338.0,AUD,338.0,AUD,338.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6607814492299,6607814492299,STE138317,2026-07-01T06:20:20Z,2026-07-01T16:20:20+10:00,2026-07-01,2026-07-01T06:20:19Z,2026-07-01T16:20:19+10:00,2026-07-01,2026-07-09T17:31:12Z,,,False,True,False,True,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PARTIALLY_REFUNDED,FULFILLED,paypal,AUD,AUD,1,NO_RETURN,AU,1,127.2,AUD,127.2,AUD,31.8,AUD,31.8,AUD,12.47,AUD,12.47,AUD,10.0,AUD,10.0,AUD,137.2,AUD,137.2,AUD,169.0,AUD,169.0,AUD,31.8,AUD,31.8,AUD
gid://shopify/Order/6607835463819,6607835463819,STE138318,2026-07-01T06:47:53Z,2026-07-01T16:47:53+10:00,2026-07-01,2026-07-01T06:47:48Z,2026-07-01T16:47:48+10:00,2026-07-01,2026-07-06T07:10:26Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,1,NO_RETURN,AU,1,169.0,AUD,169.0,AUD,0.0,AUD,0.0,AUD,16.45,AUD,16.45,AUD,12.0,AUD,12.0,AUD,181.0,AUD,181.0,AUD,181.0,AUD,181.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6607870165131,6607870165131,STE138319,2026-07-01T07:18:51Z,2026-07-01T17:18:51+10:00,2026-07-01,2026-07-01T07:18:51Z,2026-07-01T17:18:51+10:00,2026-07-01,2026-07-09T05:54:20Z,,,False,True,True,False,True,4200331,,refundid,Refundid: Returns Portal,gid://shopify/App/4200331,Refundid: Returns Portal,PAID,FULFILLED,manual,AUD,AUD,1,NO_RETURN,AU,1,169.0,AUD,169.0,AUD,0.0,AUD,0.0,AUD,15.36,AUD,15.36,AUD,0.0,AUD,0.0,AUD,169.0,AUD,169.0,AUD,169.0,AUD,169.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6607934488715,6607934488715,STE138320,2026-07-01T08:16:41Z,2026-07-01T18:16:41+10:00,2026-07-01,2026-07-01T08:16:38Z,2026-07-01T18:16:38+10:00,2026-07-01,2026-07-02T23:36:25Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,1,NO_RETURN,AU,1,233.1,AUD,233.1,AUD,25.9,AUD,25.9,AUD,22.1,AUD,22.1,AUD,10.0,AUD,10.0,AUD,243.1,AUD,243.1,AUD,243.1,AUD,243.1,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608000254091,6608000254091,STE138321,2026-07-01T09:52:52Z,2026-07-01T19:52:52+10:00,2026-07-01,2026-07-01T09:52:49Z,2026-07-01T19:52:49+10:00,2026-07-01,2026-07-06T01:09:51Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,1,NO_RETURN,AU,1,89.0,AUD,89.0,AUD,0.0,AUD,0.0,AUD,9.0,AUD,9.0,AUD,10.0,AUD,10.0,AUD,99.0,AUD,99.0,AUD,99.0,AUD,99.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608041509003,6608041509003,STE138322,2026-07-01T10:45:00Z,2026-07-01T20:45:00+10:00,2026-07-01,2026-07-01T10:44:58Z,2026-07-01T20:44:58+10:00,2026-07-01,2026-07-02T03:34:23Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,paypal,AUD,AUD,6,NO_RETURN,AU,6,744.0,AUD,744.0,AUD,0.0,AUD,0.0,AUD,67.62,AUD,67.62,AUD,0.0,AUD,0.0,AUD,744.0,AUD,744.0,AUD,744.0,AUD,744.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608050978955,6608050978955,STE138323,2026-07-01T10:57:07Z,2026-07-01T20:57:07+10:00,2026-07-01,2026-07-01T10:57:04Z,2026-07-01T20:57:04+10:00,2026-07-01,2026-07-03T00:51:05Z,,,False,True,True,False,True,shopify_draft_order,,shopify-draft-orders,Draft Orders,gid://shopify/App/1354745,Draft Orders,PAID,FULFILLED,shopify_payments,AUD,AUD,1,NO_RETURN,AU,1,41.17,AUD,41.17,AUD,0.0,AUD,0.0,AUD,4.65,AUD,4.65,AUD,10.0,AUD,10.0,AUD,51.17,AUD,51.17,AUD,51.17,AUD,51.17,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608072474763,6608072474763,STE138324,2026-07-01T11:21:39Z,2026-07-01T21:21:39+10:00,2026-07-01,2026-07-01T11:21:35Z,2026-07-01T21:21:35+10:00,2026-07-01,2026-07-03T02:02:28Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,1,NO_RETURN,AU,1,152.1,AUD,152.1,AUD,16.9,AUD,16.9,AUD,14.74,AUD,14.74,AUD,10.0,AUD,10.0,AUD,162.1,AUD,162.1,AUD,162.1,AUD,162.1,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608079945867,6608079945867,STE138325,2026-07-01T11:29:54Z,2026-07-01T21:29:54+10:00,2026-07-01,2026-07-01T11:29:53Z,2026-07-01T21:29:53+10:00,2026-07-01,2026-07-13T10:50:21Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,Airwallex Afterpay,AUD,AUD,1,NO_RETURN,AU,1,197.1,AUD,197.1,AUD,21.9,AUD,21.9,AUD,19.01,AUD,19.01,AUD,12.0,AUD,12.0,AUD,209.1,AUD,209.1,AUD,209.1,AUD,209.1,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608091873419,6608091873419,STE138326,2026-07-01T11:41:44Z,2026-07-01T21:41:44+10:00,2026-07-01,2026-07-01T11:41:41Z,2026-07-01T21:41:41+10:00,2026-07-01,2026-07-17T08:08:59Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,2,RETURNED,AU,2,348.1,AUD,348.1,AUD,19.9,AUD,19.9,AUD,31.64,AUD,31.64,AUD,0.0,AUD,0.0,AUD,348.1,AUD,348.1,AUD,348.1,AUD,348.1,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608092725387,6608092725387,STE138327,2026-07-01T11:42:26Z,2026-07-01T21:42:26+10:00,2026-07-01,2026-07-01T11:42:22Z,2026-07-01T21:42:22+10:00,2026-07-01,2026-07-11T17:17:39Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,1,RETURNED,AU,1,233.1,AUD,233.1,AUD,25.9,AUD,25.9,AUD,22.28,AUD,22.28,AUD,12.0,AUD,12.0,AUD,245.1,AUD,245.1,AUD,245.1,AUD,245.1,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608093118603,6608093118603,STE138328,2026-07-01T11:42:55Z,2026-07-01T21:42:55+10:00,2026-07-01,2026-07-01T11:42:52Z,2026-07-01T21:42:52+10:00,2026-07-01,2026-07-06T06:55:48Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,1,NO_RETURN,AU,1,69.0,AUD,69.0,AUD,0.0,AUD,0.0,AUD,7.18,AUD,7.18,AUD,10.0,AUD,10.0,AUD,79.0,AUD,79.0,AUD,79.0,AUD,79.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608119922827,6608119922827,STE138329,2026-07-01T12:08:53Z,2026-07-01T22:08:53+10:00,2026-07-01,2026-07-01T12:08:49Z,2026-07-01T22:08:49+10:00,2026-07-01,2026-07-12T17:33:58Z,,,False,True,True,True,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PARTIALLY_REFUNDED,FULFILLED,shopify_payments,AUD,AUD,2,RETURNED,AU,2,152.1,AUD,152.1,AUD,16.9,AUD,16.9,AUD,13.83,AUD,13.83,AUD,0.0,AUD,0.0,AUD,165.05,AUD,165.05,AUD,304.2,AUD,304.2,AUD,139.15,AUD,139.15,AUD
gid://shopify/Order/6608124510347,6608124510347,STE138330,2026-07-01T12:13:18Z,2026-07-01T22:13:18+10:00,2026-07-01,2026-07-01T12:13:14Z,2026-07-01T22:13:14+10:00,2026-07-01,2026-07-06T04:03:28Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,2,NO_RETURN,AU,2,138.1,AUD,138.1,AUD,9.9,AUD,9.9,AUD,13.46,AUD,13.46,AUD,10.0,AUD,10.0,AUD,148.1,AUD,148.1,AUD,148.1,AUD,148.1,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608148955275,6608148955275,STE138331,2026-07-01T12:36:48Z,2026-07-01T22:36:48+10:00,2026-07-01,2026-07-01T12:36:43Z,2026-07-01T22:36:43+10:00,2026-07-01,2026-07-10T08:23:14Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,3,NO_RETURN,AU,3,267.0,AUD,267.0,AUD,0.0,AUD,0.0,AUD,24.27,AUD,24.27,AUD,0.0,AUD,0.0,AUD,267.0,AUD,267.0,AUD,267.0,AUD,267.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608334782603,6608334782603,STE138332,2026-07-01T14:35:10Z,2026-07-02T00:35:10+10:00,2026-07-02,2026-07-01T14:35:09Z,2026-07-02T00:35:09+10:00,2026-07-02,2026-07-03T03:16:19Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,Airwallex Klarna,AUD,AUD,1,NO_RETURN,AU,1,159.0,AUD,159.0,AUD,0.0,AUD,0.0,AUD,15.36,AUD,15.36,AUD,10.0,AUD,10.0,AUD,169.0,AUD,169.0,AUD,169.0,AUD,169.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608380166283,6608380166283,STE138333,2026-07-01T15:08:41Z,2026-07-02T01:08:41+10:00,2026-07-02,2026-07-01T15:08:39Z,2026-07-02T01:08:39+10:00,2026-07-02,2026-07-02T03:34:39Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,Airwallex Afterpay,AUD,AUD,1,NO_RETURN,AU,1,159.0,AUD,159.0,AUD,0.0,AUD,0.0,AUD,15.54,AUD,15.54,AUD,12.0,AUD,12.0,AUD,171.0,AUD,171.0,AUD,171.0,AUD,171.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608638247051,6608638247051,STE138334,2026-07-01T17:55:00Z,2026-07-02T03:55:00+10:00,2026-07-02,2026-07-01T17:54:57Z,2026-07-02T03:54:57+10:00,2026-07-02,2026-07-13T17:09:52Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,1,NO_RETURN,AU,1,179.1,AUD,179.1,AUD,19.9,AUD,19.9,AUD,17.19,AUD,17.19,AUD,10.0,AUD,10.0,AUD,189.1,AUD,189.1,AUD,189.1,AUD,189.1,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608697426059,6608697426059,STE138335,2026-07-01T18:34:09Z,2026-07-02T04:34:09+10:00,2026-07-02,2026-07-01T18:34:06Z,2026-07-02T04:34:06+10:00,2026-07-02,2026-07-06T23:42:45Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,1,NO_RETURN,AU,1,129.0,AUD,129.0,AUD,0.0,AUD,0.0,AUD,12.64,AUD,12.64,AUD,10.0,AUD,10.0,AUD,139.0,AUD,139.0,AUD,139.0,AUD,139.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608853106827,6608853106827,STE138336,2026-07-01T20:24:20Z,2026-07-02T06:24:20+10:00,2026-07-02,2026-07-01T20:24:17Z,2026-07-02T06:24:17+10:00,2026-07-02,2026-07-05T22:07:28Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,1,NO_RETURN,AU,1,159.0,AUD,159.0,AUD,0.0,AUD,0.0,AUD,15.36,AUD,15.36,AUD,10.0,AUD,10.0,AUD,169.0,AUD,169.0,AUD,169.0,AUD,169.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608871489675,6608871489675,STE138337,2026-07-01T20:34:49Z,2026-07-02T06:34:49+10:00,2026-07-02,2026-07-01T20:34:43Z,2026-07-02T06:34:43+10:00,2026-07-02,2026-07-07T02:40:49Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,1,NO_RETURN,AU,1,109.0,AUD,109.0,AUD,0.0,AUD,0.0,AUD,10.82,AUD,10.82,AUD,10.0,AUD,10.0,AUD,119.0,AUD,119.0,AUD,119.0,AUD,119.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608875651211,6608875651211,STE138338,2026-07-01T20:38:11Z,2026-07-02T06:38:11+10:00,2026-07-02,2026-07-01T20:38:07Z,2026-07-02T06:38:07+10:00,2026-07-02,2026-07-07T02:40:49Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,2,NO_RETURN,AU,2,298.0,AUD,298.0,AUD,0.0,AUD,0.0,AUD,27.09,AUD,27.09,AUD,0.0,AUD,0.0,AUD,298.0,AUD,298.0,AUD,298.0,AUD,298.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608878764171,6608878764171,STE138339,2026-07-01T20:40:23Z,2026-07-02T06:40:23+10:00,2026-07-02,2026-07-01T20:40:18Z,2026-07-02T06:40:18+10:00,2026-07-02,2026-07-07T02:40:49Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,2,NO_RETURN,AU,2,208.0,AUD,208.0,AUD,0.0,AUD,0.0,AUD,19.82,AUD,19.82,AUD,10.0,AUD,10.0,AUD,218.0,AUD,218.0,AUD,218.0,AUD,218.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6608892395659,6608892395659,STE138340,2026-07-01T20:50:13Z,2026-07-02T06:50:13+10:00,2026-07-02,2026-07-01T20:50:08Z,2026-07-02T06:50:08+10:00,2026-07-02,2026-07-08T01:19:16Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,2,NO_RETURN,AU,2,252.1,AUD,252.1,AUD,15.9,AUD,15.9,AUD,22.92,AUD,22.92,AUD,0.0,AUD,0.0,AUD,252.1,AUD,252.1,AUD,252.1,AUD,252.1,AUD,0.0,AUD,0.0,AUD
