order_id,order_name,line_item_graphql_id,name,title,variant_title,sku,quantity,current_quantity,variant_graphql_id,variant_id,product_graphql_id,product_id,product_title,original_unit_price_shop_amount,original_unit_price_shop_currency,original_unit_price_presentment_amount,original_unit_price_presentment_currency,discounted_total_shop_amount,discounted_total_shop_currency,discounted_total_presentment_amount,discounted_total_presentment_currency
6618785546379,STE138516,gid://shopify/LineItem/16057689014411,Luella Mini Dress - Noir - XS,Luella Mini Dress - Noir,XS,STC789-XS,1,1,gid://shopify/ProductVariant/46038702522507,46038702522507,gid://shopify/Product/8095285051531,8095285051531,Luella Mini Dress - Noir,169.0,AUD,169.0,AUD,169.0,AUD,169.0,AUD
6618785546379,STE138516,gid://shopify/LineItem/16057689047179,Alexis Pant - Noir Gingham - S,Alexis Pant - Noir Gingham,S,STC785-S,1,1,gid://shopify/ProductVariant/45891396370571,45891396370571,gid://shopify/Product/8087309451403,8087309451403,Alexis Pant - Noir Gingham,159.0,AUD,159.0,AUD,159.0,AUD,159.0,AUD
6618785546379,STE138516,gid://shopify/LineItem/16057689079947,Evelyn Jacket - Noir Gingham - S,Evelyn Jacket - Noir Gingham,S,STC786-S,1,1,gid://shopify/ProductVariant/45891880616075,45891880616075,gid://shopify/Product/8087319838859,8087319838859,Evelyn Jacket - Noir Gingham,199.0,AUD,199.0,AUD,199.0,AUD,199.0,AUD
6618804060299,STE138517,gid://shopify/LineItem/16057726369931,Eden Skirt - White - XL,Eden Skirt - White,XL,STC552-XL,1,1,gid://shopify/ProductVariant/44472702730379,44472702730379,gid://shopify/Product/7986000658571,7986000658571,Eden Skirt - White,59.0,AUD,59.0,AUD,59.0,AUD,59.0,AUD
6618804060299,STE138517,gid://shopify/LineItem/16057726402699,Rita Skirt - Petal - XL,Rita Skirt - Petal,XL,STC444-XL,1,1,gid://shopify/ProductVariant/44384278413451,44384278413451,gid://shopify/Product/7957185036427,7957185036427,Rita Skirt - Petal,59.0,AUD,59.0,AUD,59.0,AUD,59.0,AUD
6618804060299,STE138517,gid://shopify/LineItem/16057726435467,Marisol Mini Dress - Antoine Blue - XL,Marisol Mini Dress - Antoine Blue,XL,STC440-XL,1,1,gid://shopify/ProductVariant/43691655987339,43691655987339,gid://shopify/Product/7865910231179,7865910231179,Marisol Mini Dress - Antoine Blue,59.0,AUD,59.0,AUD,59.0,AUD,59.0,AUD
6618831913099,STE138518,gid://shopify/LineItem/16057789874315,Luella Mini Dress - Bluebell - S,Luella Mini Dress - Bluebell,S,STC776-S,1,1,gid://shopify/ProductVariant/46037255520395,46037255520395,gid://shopify/Product/8095257985163,8095257985163,Luella Mini Dress - Bluebell,172.99,AUD,211.0,NZD,172.99,AUD,211.0,NZD
6618931167371,STE138519,gid://shopify/LineItem/16057971277963,Georgie Dress - Lemon - L,Georgie Dress - Lemon,L,STC493-L,1,1,gid://shopify/ProductVariant/43954517082251,43954517082251,gid://shopify/Product/7901687677067,7901687677067,Georgie Dress - Lemon,159.0,AUD,159.0,AUD,159.0,AUD,159.0,AUD
6618943193227,STE138520,gid://shopify/LineItem/16057993134219,Evelyn Jacket - Noir Gingham - L,Evelyn Jacket - Noir Gingham,L,STC786-L,1,1,gid://shopify/ProductVariant/45891880681611,45891880681611,gid://shopify/Product/8087319838859,8087319838859,Evelyn Jacket - Noir Gingham,199.0,AUD,199.0,AUD,199.0,AUD,199.0,AUD
6619000864907,STE138521,gid://shopify/LineItem/16058062241931,Coco Top - Rainbow Check - L,Coco Top - Rainbow Check,L,STC471-L,1,1,gid://shopify/ProductVariant/44384282280075,44384282280075,gid://shopify/Product/7957185790091,7957185790091,Coco Top - Rainbow Check,99.0,AUD,99.0,AUD,99.0,AUD,99.0,AUD
6619000864907,STE138521,gid://shopify/LineItem/16058062274699,Catia Skirt - Rainbow Check - L,Catia Skirt - Rainbow Check,L,STC472-L,1,1,gid://shopify/ProductVariant/44384282443915,44384282443915,gid://shopify/Product/7957185822859,7957185822859,Catia Skirt - Rainbow Check,169.0,AUD,169.0,AUD,169.0,AUD,169.0,AUD
6619049164939,STE138522,gid://shopify/LineItem/16058126499979,Cassandra Pant - Ruby Check - M,Cassandra Pant - Ruby Check,M,STC631-M,1,1,gid://shopify/ProductVariant/45031965163659,45031965163659,gid://shopify/Product/8031562563723,8031562563723,Cassandra Pant - Ruby Check,109.0,AUD,109.0,AUD,109.0,AUD,109.0,AUD
6619062272139,STE138523,gid://shopify/LineItem/16058152321163,Remi Blouse - Chalk - XL,Remi Blouse - Chalk,XL,STC379-XL,1,1,gid://shopify/ProductVariant/43691659755659,43691659755659,gid://shopify/Product/7865910984843,7865910984843,Remi Blouse - Chalk,89.0,AUD,89.0,AUD,89.0,AUD,89.0,AUD
6619075379339,STE138524,gid://shopify/LineItem/16058174603403,Georgie Dress - Lemon - M,Georgie Dress - Lemon,M,STC493-M,1,1,gid://shopify/ProductVariant/43954517049483,43954517049483,gid://shopify/Product/7901687677067,7901687677067,Georgie Dress - Lemon,159.0,AUD,159.0,AUD,159.0,AUD,159.0,AUD
6619083636875,STE138525,gid://shopify/LineItem/16058190921867,Catia Skirt - Ivory - L,Catia Skirt - Ivory,L,STC457-L,1,1,gid://shopify/ProductVariant/44384279953547,44384279953547,gid://shopify/Product/7957185331339,7957185331339,Catia Skirt - Ivory,89.0,AUD,89.0,AUD,89.0,AUD,89.0,AUD
6619083636875,STE138525,gid://shopify/LineItem/16058190954635,Coco Top - Ivory - M,Coco Top - Ivory,M,STC456 -M,1,1,gid://shopify/ProductVariant/44384279756939,44384279756939,gid://shopify/Product/7957185298571,7957185298571,Coco Top - Ivory,49.0,AUD,49.0,AUD,49.0,AUD,49.0,AUD
6619089698955,STE138526,gid://shopify/LineItem/16058201309323,Hanne Coat - Citron Check - S,Hanne Coat - Citron Check,S,STC675-S,1,1,gid://shopify/ProductVariant/45560627298443,45560627298443,gid://shopify/Product/8079982592139,8079982592139,Hanne Coat - Citron Check,259.0,AUD,259.0,AUD,259.0,AUD,259.0,AUD
6619146092683,STE138527,gid://shopify/LineItem/16058291323019,Melina Blouse - Antique Check - L,Melina Blouse - Antique Check,L,STC532-L,1,1,gid://shopify/ProductVariant/45048992727179,45048992727179,gid://shopify/Product/8034403254411,8034403254411,Melina Blouse - Antique Check,111.49,AUD,136.0,NZD,111.49,AUD,136.0,NZD
6619204911243,STE138528,gid://shopify/LineItem/16058376290443,Evelyn Jacket - Noir Gingham - XL,Evelyn Jacket - Noir Gingham,XL,STC786-XL,1,0,gid://shopify/ProductVariant/45891880714379,45891880714379,gid://shopify/Product/8087319838859,8087319838859,Evelyn Jacket - Noir Gingham,199.0,AUD,199.0,AUD,199.0,AUD,199.0,AUD
6619210809483,STE138529,gid://shopify/LineItem/16058385301643,Manon skirt - Granita Stripe - M,Manon skirt - Granita Stripe,M,STC297-M,1,1,gid://shopify/ProductVariant/43599941271691,43599941271691,gid://shopify/Product/7841970159755,7841970159755,Manon skirt - Granita Stripe,129.0,AUD,129.0,AUD,129.0,AUD,129.0,AUD
6619217297547,STE138530,gid://shopify/LineItem/16058396639371,Clea Dress - Antique Check - L,Clea Dress - Antique Check,L,STC533-L,1,1,gid://shopify/ProductVariant/45049000984715,45049000984715,gid://shopify/Product/8034404040843,8034404040843,Clea Dress - Antique Check,149.0,AUD,149.0,AUD,149.0,AUD,149.0,AUD
6619236728971,STE138531,gid://shopify/LineItem/16058427441291,Marisol Mini Dress - Rainbow Check - XL,Marisol Mini Dress - Rainbow Check,XL,STC550-XL,1,1,gid://shopify/ProductVariant/44445289185419,44445289185419,gid://shopify/Product/7976632680587,7976632680587,Marisol Mini Dress - Rainbow Check,169.0,AUD,169.0,AUD,169.0,AUD,169.0,AUD
6619237384331,STE138532,gid://shopify/LineItem/16058428358795,Corina Skirt  - Ikaria stripe - XL,Corina Skirt  - Ikaria stripe,XL,STC508-XL,1,1,gid://shopify/ProductVariant/45024018432139,45024018432139,gid://shopify/Product/8028921790603,8028921790603,Corina Skirt  - Ikaria stripe,69.0,AUD,69.0,AUD,69.0,AUD,69.0,AUD
6619239448715,STE138533,gid://shopify/LineItem/16058431570059,Coco Top - Ivory - XL,Coco Top - Ivory,XL,STC456 -XL,1,1,gid://shopify/ProductVariant/44384279822475,44384279822475,gid://shopify/Product/7957185298571,7957185298571,Coco Top - Ivory,49.0,AUD,49.0,AUD,49.0,AUD,49.0,AUD
6619239448715,STE138533,gid://shopify/LineItem/16058431602827,Eden Cami - White - XL,Eden Cami - White,XL,STC551-XL,1,1,gid://shopify/ProductVariant/44472632737931,44472632737931,gid://shopify/Product/7985965629579,7985965629579,Eden Cami - White,59.0,AUD,59.0,AUD,59.0,AUD,59.0,AUD
6619243479179,STE138534,gid://shopify/LineItem/16058438680715,Georgie Dress - Red & White Gingham - XS,Georgie Dress - Red & White Gingham,XS,STC360-XS,1,1,gid://shopify/ProductVariant/43599948611723,43599948611723,gid://shopify/Product/7841971634315,7841971634315,Georgie Dress - Red & White Gingham,159.0,AUD,159.0,AUD,159.0,AUD,159.0,AUD
